Land;Gewässer;Station;Abholdatum / Uhrzeit;Messdatum / Uhrzeit;Durchfluss;Einheit Durchfluss;Pegel;Einheit Pegel;Temperatur;Einheit Temperatur;PH-Wert;Einheit PH-Wert;PH-Gehalt stromaufwärts;Einheit PH-Wert;Kalkgehalt;Einheit Kalkgehalt;Silikatgehalt;Einheit Silikatgehalt
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:55:03;12.08.21 18:53:50;10.9;m³/s;;;;;6.21;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 19:00:04;12.08.21 18:59:26;53.7;m³/s;214.5;cm;17.9;°C;6.54;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 19:00:04;12.08.21 18:59:24;47.4;m³/s;;;15.9;°C;6.26;pH;6.14;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 19:00:04;12.08.21 18:57:45;29.5;m³/s;;;;;;;5.77;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 19:00:04;12.08.21 18:58:52;10.8;m³/s;;;;;6.21;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 19:05:03;12.08.21 19:04:25;53.7;m³/s;214.5;cm;17.9;°C;6.64;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 19:05:03;12.08.21 19:04:23;47.4;m³/s;;;16.0;°C;6.26;pH;6.13;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 19:05:03;12.08.21 18:57:44;29.5;m³/s;;;;;;;5.77;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 19:05:03;12.08.21 19:03:51;10.8;m³/s;;;;;6.21;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 19:10:03;12.08.21 19:09:26;53.7;m³/s;214.5;cm;17.9;°C;6.62;pH;;;;;;
